id;id_site_id;email;roles;password;nom;prenom;telephone;is_admin;is_actif;pseudo;avatar_filename
24;1;fanchcherhal10@gmail.com;[];123456;lundi;janvier;1245784578;0;0;janvier;NULL
25;2;fanchcherhal11@gmail.com;[];123456;mardi;fevrier;1245784578;0;0;f‚vrier;NULL
26;3;fanchcherhal12@gmail.com;[];123456;mercredi;mars;1245784578;0;0;mars;NULL
27;4;fanchcherhal13@gmail.com;[];123456;jeudi;avril;1245784578;0;0;avril;NULL
28;5;fanchcherhal14@gmail.com;[];123456;vendredi;mai;1245784578;0;0;mai;NULL
29;1;fanchcherhal15@gmail.com;[];123456;samedi;juin;1245784578;0;0;juin;NULL
30;2;fanchcherhal16@gmail.com;[];123456;dimanche;juillet;1245784578;0;0;juillet;NULL
31;3;fanchcherhal17@gmail.com;[];123456;lundi;ao–t;1245784578;0;0;ao–t;NULL
32;4;fanchcherhal18@gmail.com;[];123456;mardi;septembre;1245784578;0;0;septembre;NULL
33;5;fanchcherhal19@gmail.com;[];123456;mercredi;octobre;1245784578;0;0;octobre;NULL
34;1;fanchcherhal20@gmail.com;[];123456;jeudi;novembre;1245784578;0;0;novembre;NULL
35;2;fanchcherhal21@gmail.com;[];123456;vendredi;d‚cembre;1245784578;0;0;d‚cembre;NULL
36;3;fanchcherhal22@gmail.com;[];123456;samedi;janvier;1245784578;0;0;janv-01;NULL
37;4;fanchcherhal23@gmail.com;[];123456;dimanche;f‚vrier;1245784578;0;0;janv-02;NULL
38;5;fanchcherhal24@gmail.com;[];123456;lundi;mars;1245784578;0;0;janv-03;NULL
39;1;fanchcherhal25@gmail.com;[];123456;mardi;avril;1245784578;0;0;janv-04;NULL
40;2;fanchcherhal26@gmail.com;[];123456;mercredi;mai;1245784578;0;0;janv-05;NULL
41;3;fanchcherhal27@gmail.com;[];123456;jeudi;juin;1245784578;0;0;janv-06;NULL
42;4;fanchcherhal28@gmail.com;[];123456;vendredi;juillet;1245784578;0;0;janv-07;NULL
43;5;fanchcherhal29@gmail.com;[];123456;samedi;ao–t;1245784578;0;0;janv-08;NULL
44;1;fanchcherhal30@gmail.com;[];123456;dimanche;septembre;1245784578;0;0;janv-09;NULL
45;2;fanchcherhal31@gmail.com;[];123456;lundi;octobre;1245784578;0;0;janv-10;NULL
46;3;fanchcherhal32@gmail.com;[];123456;mardi;novembre;1245784578;0;0;janv-11;NULL
47;4;fanchcherhal33@gmail.com;[];123456;mercredi;d‚cembre;1245784578;0;0;janv-12;NULL
48;5;fanchcherhal34@gmail.com;[];123456;jeudi;janvier;1245784578;0;0;janv-13;NULL
49;1;fanchcherhal35@gmail.com;[];123456;vendredi;f‚vrier;1245784578;0;0;janv-14;NULL
50;2;fanchcherhal36@gmail.com;[];123456;samedi;mars;1245784578;0;0;janv-15;NULL
51;3;fanchcherhal37@gmail.com;[];123456;dimanche;avril;1245784578;0;0;janv-16;NULL
